
timestamp,text,label
0:00,"How fake can be the lives of celebrities? Things that you are shown on social media, how true are they? Paid social media trends, paid posts, paid paparazzi, paid podcasts, these are used to create a hype for films. The box office collections you are told about, contain many lies and frauds.",Normal
0:30,"Hello friends! Have you ever noticed that these Bollywood actors and celebrities whenever and wherever they go, a crowd of paparazzi always follows them with their cameras in their hands. Whether they are going to the airport at 11 PM to catch a flight or whether they leave the gym in the afternoon after a work out session. Someone or the other is always there to click their photos.",Normal
1:00,"If they go to a market to shop, coincidently, the paparazzi follow them there too. And if they start travelling in an auto rickshaw instead of a car for some reason, it becomes a news headline. It's quite strange. I travel in Delhi metro and auto rickshaws too, but no newspaper has ever printed such a headline for me. And neither have I ever seen a paparazzi in my life. But it's not just about me. You won't see this happening for most YouTubers.",Normal
1:30,"And there are some immensely popular Bollywood actors with whom this rarely happens. What a coincidence! On the other hand, some relatively unknown people's faces are shown to us repeatedly by the paparazzi. On social media and in newspapers. To the extent where this makes them famous. Or, it'd be better to say that they are turned famous.",Normal
2:00,"Friends, in this video, let's understand this glamourous world of celebrities, how real it is, and how fake. Today, the word 'Paparazzi' is used for those people whose job is to click photos of celebrities and high-profile people. In India, they are these people. 'Paparazzi' is a plural word. The singular form is 'Paparazzo.' And it's quite interesting to know how it originated.",Normal
2:30,"In 1960, an Italian film was released called La Dolce Vita. A side character in this film was called Paparazzo. He was an annoying but fearless reporter who was ready to go to any extent to click photos of celebrities. The film's director revealed in his autobiography the reason he chose the word 'Paparazzo.' Because it is an Italian slang which refers to a big, annoying mosquito. He said that this was the right word to depict the reporter's personality.",Normal
3:00,"Just like a mosquito flies around your ears, biting you and annoying you, the news reporter was like that.",Normal
3:15,"'What happened in the meeting between you and Nitish?' 'How was the meeting?' 'This is not the right place to talk. Let's not disturb them.' 'How was the meeting between you and Nitish?' 'I don't have to comment on anything.' 'Why? Was the meeting nice?' 'Did you get Nitish Kumar's blessings? Is he okay? Is he happy?' 'Why is this not the right time to talk?' 'When you speak to someone... Tell us everything is fine, that's all.'",Normal
3:45,"In the same way, when you are web browsing, your actions are monitored by numerous online trackers. The data trail that you leave behind, is used by advertisers to target you on the internet. But you can easily avoid this simply by using a VPN.",Sponsered
4:00,"While using a VPN, you can hide your IP address, which means that no one will be able to track you while web browsing. In my opinion, one of the best VPN apps is NordVPN. I use this too. You can even spoof your location with NordVPN. In a country, some websites or content may be blocked. But those restrictions can be bypassed by changing your location.",Sponsered
4:30,"Recently, NordVPN has launched its new eSIM service called Saily. With this, while travelling all over the world, you can switch carriers, and pay low roaming charges. You have to pay for only the data you use. The best thing here is that NordVPN is giving you a huge voucher. 20 GB data on Saily's eSIM. This is more than the monthly data limit of most mobile plans.",Sponsered
5:00,"Clicking on this link, will give you a big discount on subscribing to their VPN. Plus, you will get 4 additional months of VPN service for free. And plus, you will get a 20 GB eSIM data card. You can go check out the offers on nordvpn.com/dhruv And now let's get back to the topic.",Sponsered
